"ts";"value"
"2017-02-03 07:53:36.000000";"40,6504"
"2017-02-03 07:53:39.000000";"40"
"2017-02-03 07:53:40.000000";"86,3309"
"2017-02-03 07:53:43.000000";"86,0832"
"2017-02-03 07:53:44.000000";"88,3652"
"2017-02-03 07:53:45.000000";"70,0935"
"2017-02-03 07:53:46.000000";"133,929"
"2017-02-03 07:53:48.000000";"133,038"
"2017-02-03 07:53:49.000000";"90,3614"
"2017-02-03 07:53:50.000000";"42,6439"
"2017-02-03 07:53:52.000000";"40,2685"
"2017-02-03 07:53:57.000000";"68,8863"
"2017-02-03 07:53:58.000000";"157,895"
"2017-02-03 07:54:00.000000";"79,2602"
"2017-02-03 07:54:01.000000";"78,2269"
"2017-02-03 07:54:03.000000";"78,0234"
"2017-02-03 07:54:04.000000";"72,4638"
"2017-02-03 07:54:05.000000";"163,934"
"2017-02-03 07:54:13.000000";"73,8007"
"2017-02-03 07:54:15.000000";"73,0816"
"2017-02-03 07:54:20.000000";"73,0816"
"2017-02-03 07:54:22.000000";"73,0816"
"2017-02-03 07:54:23.000000";"73,0816"
"2017-02-03 07:54:26.000000";"73,0816"
"2017-02-03 07:54:27.000000";"173,913"
"2017-02-03 07:54:29.000000";"173,41"
"2017-02-03 07:54:32.000000";"173,41"
"2017-02-03 07:54:33.000000";"78,9474"
"2017-02-03 07:54:35.000000";"78,0234"
"2017-02-03 07:54:38.000000";"78,0234"
"2017-02-03 07:54:40.000000";"78,0234"
"2017-02-03 07:54:42.000000";"78,0234"
"2017-02-03 07:54:43.000000";"78,0234"
"2017-02-03 07:54:45.000000";"78,0234"
"2017-02-03 07:54:46.000000";"75,7576"
"2017-02-03 07:54:48.000000";"75"
"2017-02-03 07:54:49.000000";"77,2201"
"2017-02-03 07:54:50.000000";"77,0218"
"2017-02-03 07:54:51.000000";"76,0456"
"2017-02-03 07:54:53.000000";"76,0456"
"2017-02-03 07:54:54.000000";"76,0456"
"2017-02-03 07:54:55.000000";"76,0456"
"2017-02-03 07:54:56.000000";"78,637"
"2017-02-03 07:54:57.000000";"77,9221"
"2017-02-03 07:54:59.000000";"81,1908"
"2017-02-03 07:55:05.000000";"81,0811"
"2017-02-03 07:55:06.000000";"44,2478"
"2017-02-03 07:55:07.000000";"78,7402"
