"ts";"lat";"lon";"alt";"hdg";"spd";"LOD"
"2017-02-03 07:21:09.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:11.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:13.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:15.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:17.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:19.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:21.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:23.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:25.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:27.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:29.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:31.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:33.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:35.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:42.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:44.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:46.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:48.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:50.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:52.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:54.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:56.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:21:58.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:00.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:02.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:04.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:06.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:08.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:10.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:12.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:14.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:15.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:17.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:19.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:21.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:23.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:25.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:27.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:29.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:31.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:33.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:35.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:37.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
"2017-02-03 07:22:39.000000";"38.7415";"-9.16444";"63";"95";"0";"0"
